"ward","dem_vot_turnout05","dem_vot_turnout09","dem_vot_turnout13","avg_vot_turnout"
"1",20,16,9,15
"10",16,14,10,13
"11",13,9,7,9
"12",12,10,7,9
"13",13,11,7,10
"14",11,9,7,9
"15",23,19,11,17
"16",12,10,6,9
"17",16,12,8,12
"18",13,10,5,9
"19",7,5,2,4
"2",19,17,9,15
"20",9,6,5,6
"21",18,18,7,14
"22",24,21,13,19
"23",10,9,4,7
"24",12,9,5,8
"25",12,8,2,7
"26",17,17,7,13
"27",7,5,3,5
"28",11,8,6,8
"29",12,12,8,10
"3",17,15,9,13
"30",16,16,10,14
"31",15,12,7,11
"32",9,8,6,7
"33",5,4,1,3
"34",16,14,9,13
"35",10,8,4,7
"36",12,10,6,9
"37",9,7,6,7
"38",16,14,8,12
"39",21,17,8,15
"4",14,11,6,10
"40",10,8,5,7
"41",14,11,4,9
"42",6,5,3,4
"43",7,5,3,5
"44",13,10,7,10
"45",12,9,3,8
"46",16,14,9,13
"47",9,7,5,7
"48",10,8,4,7
"49",11,10,6,9
"5",17,14,8,13
"50",22,16,13,17
"51",12,11,7,10
"52",19,17,11,15
"53",14,10,4,9
"54",14,8,3,8
"55",16,14,4,11
"56",20,17,6,14
"57",16,15,5,12
"58",15,14,6,11
"59",14,12,7,11
"6",11,11,8,10
"60",15,12,8,11
"61",10,8,6,8
"62",12,9,4,8
"63",20,19,8,15
"64",14,14,5,11
"65",18,15,6,13
"66",13,14,5,10
"7",4,2,1,2
"8",22,19,10,17
"9",31,27,16,24
