"ward","pdem_vot_turnout"
"1",31.9075394253618
"10",22.9058881497906
"11",15.5139770575788
"12",19.2934782608696
"13",18.0786094581898
"14",19.6140839466879
"15",36.2315996074583
"16",12.4951443739479
"17",19.7519929140833
"18",25.8241758241758
"19",7.03451570524304
"2",34.6011921657678
"20",10.9593246354566
"21",26.722597299444
"22",35.7685563997662
"23",10.796266711511
"24",16.4643920311427
"25",9.55277280858676
"26",20.2494135078405
"27",14.3885938750273
"28",14.9397281354193
"29",20.5936920222635
"3",18.7906371911573
"30",32.4930774372195
"31",26.974025974026
"32",13.3374498301945
"33",5.09680324178298
"34",21.6695406110448
"35",11.8146929824561
"36",21.7682555500194
"37",10.4533865425119
"38",23.5244440273998
"39A",22.4981188863807
"39B",25.6854882410318
"4",16.7886114203913
"40A",18.1657848324515
"40B",11.6672616922528
"41",10.4580070792663
"42",8.95880361173815
"43",8.90903152049649
"44",16.0326086956522
"45",10.03600360036
"46",33.1960885229027
"47",12.8871300757054
"48",15.7126281183524
"49",15.7990314769976
"5",26.4583798259317
"50",28.3535567182456
"51",17.6062573789847
"52",24.8975816043346
"53",12.8070716414842
"54",9.35307872174591
"55",13.0958354239839
"56",15.7112242164479
"57",16.307954868683
"58",16.18030547622
"59",22.5350025927847
"6",18.2760191300387
"60",20.2724842631715
"61",16.7951505567635
"62",8.78273067331671
"63",23.21083172147
"64",13.9817094618361
"65",17.6186903868824
"66A",16.7348651767915
"66B",15.7119174801989
"7",4.77806788511749
"8",30.1534653465347
"9",44.8842105263158
